Surname,Forename,Start-Date,Password,Software_Development,Object_Oriented_Programming,Formal_Languages,Algorithm_Theory,Numerical_Mathematics,Mathematics_for_Programmers,Compiler_Constructions,Practical_Programming,Networking,IT_Security,English,Economy
Augustin,Benno,03.09.18,YQexudO,"1, 2, 3, 1, 2",2,"2,2",3,2,"2,3",2,"1,2,1",2,2,1,3
Bednorz,Tabea,03.09.18,HRadtz3uefewnl5R,"1, 1, 1, 2","1,1",1,2,1,"2, 1, 1",,"2,1,2",3,3,3,4
Behnke,Ann-Kathrin,03.09.18,PiebswtU,"1, 3, 4, 2, 6","1,2,3,4",2,3,3,"2,2",,"1,1,1",1,4,2,3
Benz,Tom,03.09.18,j0q8s9j4z8qP,"1, 1, 1, 2",1,,1,1,1,,"1,1,1",4,1,4,2
Enders,Alice,03.09.18,Zx3t0qOG,1,2,"1, 3, 4, 2, 6",4,2,2,3,"2,2,2",2,1,5,3
"Fell , Vanessa",Vanessa,03.09.18,C5Jgi3lZqtrF,"2, 1, 1",,"1, 1, 1, 2",,3,,,3,3,1,2,4
"Fricke , Jan",Jan,03.09.18,Aq7N1Eedgco4A,"5, 6, 1, 3","1,3",1,5,4,"1, 3, 4, 2, 6",,"2,1,3",1,2,4,3
Greiner,Vivien,03.09.18,Rpt9ssiRksy5QdeM,"1, 2, 2, 1","2,1","2, 1, 1",1,2,"1, 1, 1, 2",,"2,34",2,2,5,3
Hofmann,Paul,03.09.18,Cbq3qgfet6s0D,"3, 2, 3, 2, 2, 3","1,3","5, 6, 1, 3",4,5,1,1,"1,4,5",3,2,1,3
Holzmann,Rudi,03.09.18,D7iq9e9tQ,"1, 3, 2, 5, 3, 2, 1","1,3,1","1, 2, 2, 1",2,3,"2, 1, 1",2,"2,1,2",4,1,2,3
Kirschke,Nora,03.09.18,O2nqrlnlurvzH,"2,3",2,"3, 2, 3, 2, 2, 3",3,2,"5, 6, 1, 3",2,"1,1,1",6,1,3,3
Köpke,"Franziska, Marie",03.09.18,U3x7wqnwrzeC,"2, 1, 1","2,5","1, 3, 2, 5, 3, 2, 1","1,2","2,2","1, 2, 2, 1",,"1,5,1",1,2,4,1
Langhans,Moritz,03.09.18,EMuvcrqvwiqSwceO,2,"3,4","2,3",3,2,"3, 2, 3, 2, 2, 3",,"2,6,1",2,1,1,3
Laskewitsch,Moritz,03.09.18,WL5ax2qL,"3, 2, 3, 2, 2, 3",2,"2, 1, 1",1,4,"1, 3, 2, 5, 3, 2, 1",,"3,2,3",3,2,2,3
Nebel,Nico,03.09.18,MwVmz1nK,"1, 1, 1, 1, 1, 1",1,2,4,2,"2,3",,2,4,1,3,2
Pack,Marie,03.09.18,Uy6Grpy1u7vsS,"2, 1, 3, 2, 1, 1, 3, 2",,"3, 2, 3, 2, 2, 3",2,2,"2,2",3,"2,2,2",7,2,4,4
Petersen,Sandro,03.09.18,Qqkhdz1dfg4P,"2, 1, 4, 1,2",2,"1, 1, 1, 1, 1, 1",2,2,1,1,"2,1,2",1,2,2,3
Schell,Susan,03.09.18,Xryu9fM,"2, 1, 3, 1, 1, 1, 1",,"2, 1, 3, 2, 1, 1, 3, 2",3,2,2,,,2,2,1,2
Trenks,Clara,03.09.18,5Zjz1c1lM4k(8w1meL10bF,"1, 1, 3, 1",,1,,1,,,,3,2,1,2
Waxmut,"Noel, Amon",03.09.18,M1lX0lwyjDfyaA,"2, 4, 4, 2, 1, 1,1",2,2,3,3,"1, 3, 4, 2, 6",,"1,2,1,2",4,1,1,2
Weiler,Tim,03.09.18,VeDd4vljX,"2,5","1,2,3,4",,,2,"1, 1, 1, 2",,,1,,,
